Index,CRASH DATE,BOROUGH,LATITUDE,LONGITUDE,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLIST INJURED,CYCLIST KILLED,MOTORIST INJURED,MOTORIST KILLED,CONTRIBUTING FACTOR,VEHICLE TYPE
9707,1/29/2022,MANHATTAN,40.80438,-73.93953,1,0,0,0,1,0,0,0,Pavement Slippery,Sedan
9708,1/30/2022,BRONX,40.902317,-73.90161,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9709,1/30/2022,QUEENS,40.593628,-73.80075,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9710,1/30/2022,QUEENS,40.789253,-73.85182,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9711,1/30/2022,BROOKLYN,40.66891,-73.89826,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9712,2/22/2022,BRONX,40.896423,-73.86291,0,0,0,0,0,0,0,0,Turning Improperly,Sedan
9713,1/28/2022,BROOKLYN,40.68031,-73.96793,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9714,1/24/2022,MANHATTAN,40.781025,-73.981316,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
9715,1/28/2022,MANHATTAN,40.810856,-73.939026,1,0,0,0,0,0,1,0,Unspecified,Sedan
9716,1/29/2022,QUEENS,40.686348,-73.83071,0,0,0,0,0,0,0,0,Pavement Slippery,Sedan
9717,1/30/2022,BRONX,40.844193,-73.82932,0,0,0,0,0,0,0,0,Unspecified,Sedan
9718,1/27/2022,BROOKLYN,40.65569,-73.959145,1,0,1,0,0,0,0,0,Backing Unsafely,Sedan
9719,1/29/2022,BROOKLYN,40.58285,-73.959015,0,0,0,0,0,0,0,0,Pavement Slippery,Sedan
9720,1/28/2022,QUEENS,40.68085,-73.79907,0,0,0,0,0,0,0,0,Passing Too Closely,Sedan
9721,1/31/2022,BRONX,40.80801,-73.88961,1,0,0,0,0,0,1,0,Unspecified,Tractor Truck Diesel
9722,1/31/2022,BROOKLYN,40.640514,-73.96431,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Sedan
9723,1/24/2022,BROOKLYN,40.70199,-73.936745,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
9724,1/30/2022,BROOKLYN,40.66984,-73.91906,1,0,0,0,0,0,1,0,Passenger Distraction,Sedan
9725,1/28/2022,QUEENS,40.757183,-73.83396,1,0,0,0,0,0,1,0,Following Too Closely,Sedan
9726,1/31/2022,QUEENS,40.737915,-73.81485,0,0,0,0,0,0,0,0,Unspecified,Bus
9727,1/27/2022,BROOKLYN,40.658836,-73.92046,0,0,0,0,0,0,0,0,Unspecified,Sedan
9728,1/27/2022,BROOKLYN,40.69302,-73.93706,1,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
9729,1/27/2022,BROOKLYN,40.680016,-73.87743,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Box Truck
9730,1/29/2022,BROOKLYN,40.650402,-73.89422,0,0,0,0,0,0,0,0,Unspecified,Sedan
9731,1/30/2022,QUEENS,40.745903,-73.884415,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
9732,1/28/2022,QUEENS,40.767193,-73.93759,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Sedan
9733,4/14/2022,BRONX,40.804256,-73.9193,0,0,0,0,0,0,0,0,Unspecified,Sedan
9734,1/29/2022,QUEENS,40.746166,-73.866165,0,0,0,0,0,0,0,0,Pavement Slippery,FIRETRUCK
9735,1/28/2022,BRONX,40.842766,-73.84594,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
9736,1/21/2022,QUEENS,40.693905,-73.792946,0,0,0,0,0,0,0,0,Unspecified,Sedan
9737,1/31/2022,BRONX,40.827,-73.84359,0,0,0,0,0,0,0,0,Unspecified,Sedan
9738,1/31/2022,BROOKLYN,40.632156,-73.98435,2,0,0,0,0,0,2,0,Unspecified,Taxi
9739,1/28/2022,BRONX,40.877476,-73.83661,1,0,0,0,0,0,1,0,Following Too Closely,Sedan
9740,1/27/2022,MANHATTAN,40.755505,-73.96807,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
9741,1/29/2022,BROOKLYN,40.66682,-73.88166,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9742,1/29/2022,BROOKLYN,40.6234,-74.02812,0,0,0,0,0,0,0,0,Unspecified,Sedan
9743,1/24/2022,BROOKLYN,40.588886,-73.965645,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9744,2/3/2022,MANHATTAN,40.71504,-73.99681,0,0,0,0,0,0,0,0,Unspecified,Tow Truck / Wrecker
9745,1/30/2022,QUEENS,40.68752,-73.849495,0,0,0,0,0,0,0,0,Unspecified,Sedan
9746,1/28/2022,BRONX,40.820984,-73.891624,1,0,0,0,0,0,1,0,Unspecified,Sedan
9747,1/31/2022,QUEENS,40.759003,-73.9349,0,0,0,0,0,0,0,0,Pavement Slippery,Station Wagon/Sport Utility Vehicle
9748,1/6/2022,BROOKLYN,40.66803,-73.983955,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle
9749,1/24/2022,STATEN ISLAND,40.644497,-74.08332,1,0,1,0,0,0,0,0,Unspecified,Sedan
9750,1/29/2022,STATEN ISLAND,40.562767,-74.18087,0,0,0,0,0,0,0,0,Pavement Slippery,Station Wagon/Sport Utility Vehicle
9751,1/31/2022,MANHATTAN,40.760223,-73.957634,0,0,0,0,0,0,0,0,Traffic Control Disregarded,Box Truck
9752,1/28/2022,BROOKLYN,40.717716,-73.94097,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
9753,1/29/2022,BROOKLYN,40.678165,-73.89454,0,0,0,0,0,0,0,0,Unspecified,Sedan
9754,1/29/2022,BRONX,40.846474,-73.86011,0,0,0,0,0,0,0,0,Other Vehicular,Station Wagon/Sport Utility Vehicle
9755,1/28/2022,BROOKLYN,40.64166,-73.93705,0,0,0,0,0,0,0,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
9756,1/30/2022,BRONX,40.855194,-73.79131,0,0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
