CRASH DATE,BOROUGH,LATITUDE,LONGITUDE,PERSONS INJURED,PERSONS KILLED,PEDESTRIANS INJURED,PEDESTRIANS KILLED,CYCLIST INJURED,CYCLIST KILLED,MOTORIST INJURED,MOTORIST KILLED,CONTRIBUTING FACTOR,VEHICLE TYPE
2022-04-07,MANHATTAN,40.748158,-73.97033,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-26,STATEN ISLAND,40.637833,-74.08193,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-26,MANHATTAN,40.797836,-73.96946,1.0,0.0,0,0,0,0,1,0,Traffic Control Disregarded,Sedan
2022-03-26,QUEENS,40.734375,-73.87342,1.0,0.0,0,0,0,0,1,0,Lost Consciousness,Station Wagon/Sport Utility Vehicle
2022-03-26,QUEENS,40.699947,-73.736626,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
2022-03-21,MANHATTAN,40.75632,-73.999275,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Motorcycle
2022-03-26,QUEENS,40.69614,-73.81789,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
2022-03-26,BROOKLYN,40.631687,-73.9205,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-26,BRONX,40.88839,-73.84666,2.0,0.0,0,0,0,0,2,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
2022-03-26,BRONX,40.844425,-73.8639,0.0,0.0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
2022-03-26,BRONX,40.833965,-73.8629,2.0,0.0,0,0,0,0,2,0,Alcohol Involvement,Station Wagon/Sport Utility Vehicle
2022-03-26,BROOKLYN,40.705738,-73.944695,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-26,BROOKLYN,40.637905,-73.8878,0.0,0.0,0,0,0,0,0,0,Unsafe Speed,Sedan
2022-03-26,BROOKLYN,40.635063,-73.94788,1.0,0.0,0,0,0,0,1,0,Unsafe Speed,Station Wagon/Sport Utility Vehicle
2022-03-10,BROOKLYN,40.676403,-73.96287,4.0,0.0,0,0,0,0,4,0,Other Vehicular,Station Wagon/Sport Utility Vehicle
2022-03-24,BRONX,40.829777,-73.85055,1.0,0.0,1,0,0,0,0,0,Unspecified,Sedan
2022-03-26,BROOKLYN,40.613926,-74.030174,0.0,0.0,0,0,0,0,0,0,Brakes Defective,Station Wagon/Sport Utility Vehicle
2022-03-26,BROOKLYN,40.635563,-73.89577,2.0,0.0,2,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
2022-03-26,QUEENS,40.675167,-73.825264,0.0,0.0,0,0,0,0,0,0,Passing Too Closely,Station Wagon/Sport Utility Vehicle
2022-03-26,MANHATTAN,40.761486,-73.96061,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-26,BROOKLYN,40.712284,-73.964005,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Sedan
2022-02-25,QUEENS,40.70546,-73.7949,0.0,0.0,0,0,0,0,0,0,Following Too Closely,E-Scooter
2022-03-26,MANHATTAN,40.833786,-73.94037,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Box Truck
2022-03-26,BROOKLYN,40.637985,-74.0076,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Station Wagon/Sport Utility Vehicle
2022-03-26,QUEENS,40.742508,-73.91788,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Sedan
2022-03-26,BROOKLYN,40.67046,-73.88788,1.0,0.0,0,0,0,0,1,0,Driver Inattention/Distraction,Sedan
2022-03-26,MANHATTAN,40.72224,-73.9863,1.0,0.0,0,0,0,0,1,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
2022-03-26,BROOKLYN,40.668896,-73.95339,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
2022-03-25,BROOKLYN,40.63654,-73.97707,2.0,0.0,0,0,0,0,2,0,Unspecified,Sedan
2022-03-26,BRONX,40.831055,-73.905846,1.0,0.0,1,0,0,0,0,0,Unspecified,Sedan
2022-03-26,BROOKLYN,40.63947,-73.902756,1.0,0.0,0,0,0,0,1,0,Unspecified,Sedan
2022-03-26,BRONX,40.86173,-73.91182,1.0,0.0,0,0,0,0,1,0,Unspecified,Station Wagon/Sport Utility Vehicle
2022-03-26,BROOKLYN,40.69538,-73.985115,0.0,0.0,0,0,0,0,0,0,Unspecified,Sedan
2022-03-26,BROOKLYN,40.63063,-74.00923,0.0,0.0,0,0,0,0,0,0,Unspecified,Sedan
2022-03-26,BRONX,40.82707,-73.87075,0.0,0.0,0,0,0,0,0,0,Turning Improperly,Sedan
2022-03-26,BROOKLYN,40.692593,-73.91551,0.0,0.0,0,0,0,0,0,0,Unspecified,Station Wagon/Sport Utility Vehicle
2022-03-26,BROOKLYN,40.680664,-73.902626,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
2022-03-26,BROOKLYN,40.645718,-73.95002,4.0,0.0,0,0,0,0,4,0,Passing Too Closely,Sedan
2022-03-26,BROOKLYN,40.577652,-73.96344,0.0,0.0,0,0,0,0,0,0,Driver Inattention/Distraction,Station Wagon/Sport Utility Vehicle
2022-03-26,MANHATTAN,40.730145,-73.99781,1.0,0.0,0,0,1,0,0,0,Passenger Distraction,E-Bike
2022-03-26,QUEENS,40.67478,-73.806206,0.0,0.0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
2022-03-25,BROOKLYN,40.624622,-73.97598,2.0,0.0,0,0,0,0,2,0,Unspecified,Sedan
2022-03-26,BROOKLYN,40.67271,-73.97089,0.0,0.0,0,0,0,0,0,0,Passing or Lane Usage Improper,Station Wagon/Sport Utility Vehicle
2022-03-26,STATEN ISLAND,40.596733,-74.07045,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Sedan
2022-03-26,BROOKLYN,40.617645,-73.92092,0.0,0.0,0,0,0,0,0,0,Backing Unsafely,Sedan
